id,title,artist_ids,popularity,release_date
54bFM56PmE4YLRnqpW6Tha,"Therefore I Am","['6qqNVTkY8uBg9cP3Jd7DAH']",90,2020-11-12
4MzXwWMhyBbmu6hOcLVD49,"DÁKITI","['4q3ewBCX7sLwd24euuV69X', '0EFisYRi20PTADoJrifHrz']",90,2020-11-27
4Oun2ylbjFKMPTiaSbbCih,"WAP (feat. Megan Thee Stallion)","['4kYSro6naA4h99UJvo89HB', '181bsRPaVXVlUKXrxwZfHK']",90,2020-08-07
1KixkQVDUHggZMU9dUobgm,"My Head & My Heart","['4npEfmQ6YuiwW1GpUmaq3F']",90,2020-09-18
079Ey5uxL04AKPQgVQwx5h,"Baila Conmigo (with Rauw Alejandro)","['0C8ZW7ezQVs4URX5aX7Kqx', '1mcTU81TzQhprhouKaTkpq']",90,2021-03-12
6fRxMU4LWwyaSSowV441IU,"Beautiful Mistakes (feat. Megan Thee Stallion)","['04gDigrS5kc9YWfZHwBETP', '181bsRPaVXVlUKXrxwZfHK']",90,2021-03-03
61KpQadow081I2AsbeLcsb,"deja vu","['1McMsnEElThX1knmY4oliG']",90,2021-04-01
31qCy5ZaophVA81wtlwLc4,"Anyone","['1uNFoZAHBGtllmzznpCI3s']",90,2021-01-01
2etHQJxIbV0soyPhelVs9Y,"Best Friend (feat. Doja Cat)","['6cK3NBO6uP7hh0oyuVELFl', '5cj0lLjcoR7YOSnhnX0Po5']",90,2021-01-07
0u2P5u6lvoDfwTYjAADbn4,"lovely (with Khalid)","['6qqNVTkY8uBg9cP3Jd7DAH', '6LuN9FCkKOj5PcnpouEgny']",89,2018-04-19
21jGcNKet2qwijlDFuPiPb,"Circles","['246dkjvS1zLTtiykXe5h60']",89,2019-09-06
1Xi84slp6FryDSCbzq4UCD,"Arcade","['3klZnJvYGIbWritVwQD434']",89,2019-03-07
4xqrdfXkTW4T0RauPLv3WA,"Heather","['4Uc8Dsxct0oMqx0P6i60ea']",89,2020-03-20
5vGLcdRuSbUhD8ScwsGSdA,"Whoopty","['7arQA31aZVS8yS6zUveWzb']",89,2020-08-20
1zLBsSVxETQOfINOLYvT5m,"GIRL LIKE ME","['1yxSLGMDHlW21z4YXirZDS', '0EmeFodog0BfCgMzAIvKQp']",89,2020-11-02
0PvFJmanyNQMseIFrU708S,"For The Night (feat. Lil Baby & DaBaby)","['0eDvMgVFoNV3TpwtrVCoTj', '5f7VJjfbwm532GiveGC0ZK', '4r63FhuTkUYltbVAg5TQnk']",89,2020-07-03
6zFMeegAMYQo0mt8rXtrli,"HOLIDAY","['7jVv8c5Fj3E9VhNjxT4snq']",89,2020-11-13
7ndTONDDRFGiPnnhOzOXxq,"La Nota","['0tmwSHipWxN12fsoLcFU3B', '1mcTU81TzQhprhouKaTkpq', '7iK8PXO48WeuP03g8YR51W']",89,2020-10-08
249gnXrbfmV8NG6jTEMSwD,"Life Goes On","['3Nrfpe0tUJi4K4DXYWgMUX']",89,2020-11-20
5nujrmhLynf4yMoMtj8AQF,"Levitating (feat. DaBaby)","['6M2wZ9GZgrQXHCFfjv46we', '4r63FhuTkUYltbVAg5TQnk']",89,2020-03-27
7eJMfftS33KTjuF7lTsMCx,"death bed (coffee for your head)","['6bmlMHgSheBauioMgKv2tn', '35l9BRT7MXmM8bv2WDQiyB']",89,2020-02-08
20McUFi8KCIVdNDLrkTDuZ,"Goosebumps","['2o08sCWF5yyo2G4DCiT7T9']",89,2020-06-12
43PGPuHIlVOc04jrZVh9L6,"RAPSTAR","['6AgTAQt8XS6jRWi4sX7w49']",89,2021-04-09
65OVbaJR5O1RmwOQx0875b,"Wants and Needs (feat. Lil Baby)","['3TVXtAsR1Inumwj472S9r4', '5f7VJjfbwm532GiveGC0ZK']",89,2021-03-05
2MZQAvsA7aZDssppBLRxYp,"Batom de Cereja - Ao Vivo","['41QLxRXlc2NwfJZkHGHKid']",89,2021-01-29
6gBFPUFcJLzWGx4lenP6h2,"goosebumps","['0Y5tJX1MQlPlqiwlOH1tJY']",88,2016-09-16
0pqnGHJpmpxLKifKRmU6WP,"Believer","['53XhwfbYqKCa1cC15pYq2q']",88,2017-06-23
285pBltuF7vW8TeWk8hdRR,"Lucid Dreams","['4MCBfE4596Uoi2O4DtmEMz']",88,2018-12-10
45S5WTQEGOB1VHr1Q4FuPl,"Golden","['6KImCVD70vtIoJWnq6nGn3']",88,2019-12-13
24Yi9hE78yPEbZ4kxyoXAI,"Roses - Imanbek Remix","['0H39MdGGX6dbnnQPt6NQkZ', '5rGrDvrLOV2VV8SCFVGWlj']",88,2019-10-09
2b8fOow8UzyDFAE27YhOZM,"Memories","['04gDigrS5kc9YWfZHwBETP']",88,2019-09-20
0nbXyq5TXYPCO7pr3N8S4I,"The Box","['757aE44tKEUQEqRuT6GnEB']",88,2019-12-06
3H7ihDc1dqLriiWXwsc2po,"Breaking Me","['0u6GtibW46tFX7koQ6uNJZ', '5Wg2b4Mp42gicxEeDNawf7']",88,2019-12-19
2Fxmhks0bxGSBdJ92vM42m,"bad guy","['6qqNVTkY8uBg9cP3Jd7DAH']",88,2019-03-29
2XU0oxnq2qxCpomAAuJY8K,"Dance Monkey","['2NjfBq1NflQcKSeiDooVjY']",88,2019-10-17
3jjujdWJ72nww5eGnfs2E7,"Adore You","['6KImCVD70vtIoJWnq6nGn3']",88,2019-12-13
2mM3gZ0BbPwPPMelbA8vgt,"No Te Enamores - Remix","['7kXCcNRLEnblbTAppPraBp', '329e4yvIujISKGKz1BZZbO', '5hdhHgpxyniooUiQVaPxQ0', '2cPqdH7XMvwaBJEVjheH8g', '6kq4GHwUcUojGIu0ziSNXf']",88,2020-11-20
5RubKOuDoPn5Kj5TLVxSxY,"TE MUDASTE","['4q3ewBCX7sLwd24euuV69X']",88,2020-11-27
2SAqBLGA283SUiwJ3xOUVI,"Laugh Now Cry Later (feat. Lil Durk)","['3TVXtAsR1Inumwj472S9r4', '3hcs9uc56yIGFCSy9leWe7']",88,2020-08-14
35UUpTmrcFXNIVIN26ujXl,"Relación - Remix","['77ziqFxp5gaInVrF2lj4ht', '4VMYDCV2IEDYJArk749S6m', '1vyhD5VmyZ7KMfW5gqLgo5', '7ltDVBr6mKbRvohxheJ9h1', '329e4yvIujISKGKz1BZZbO']",88,2020-09-04
0E4Y1XIbs8GrAT1YqVy6dq,"Afterglow","['6eUKZXaKkcviH0Ku9w2n3V']",88,2020-12-21
1VLtjHwRWOVJiE5Py7JxoQ,"Martin & Gina","['6AgTAQt8XS6jRWi4sX7w49']",88,2020-05-15
3UHPGOkUcE4hE7sqBF4Snt,"Film out","['3Nrfpe0tUJi4K4DXYWgMUX']",88,2021-04-01
1nahzW3kfMuwReTka28tH5,"Hold On","['1uNFoZAHBGtllmzznpCI3s']",88,2021-03-19
2Lhdl74nwwVGOE2Gv35QuK,"Cupid's Chokehold / Breakfast in America","['4IJczjB0fJ04gs4uvP0Fli']",87,2005-02-22
3U4isOIWM3VvDubwSI3y7a,"All of Me","['5y2Xq6xcjJb2jVM54GHK3t']",87,2013-08-30
5FVd6KXrgO9B3JPmC8OPst,"Do I Wanna Know?","['7Ln80lUS6He07XvHI8qqHH']",87,2013-09-09
7fBv7CLKzipRk6EC6TWHOB,"The Hills","['1Xyo4u8uXC1ZmMpatF05PJ']",87,2015-08-28
5E30LdtzQTGqRvNd7l6kG5,"Daddy Issues","['77SW9BnxLY8rJ0RciFqkHh']",87,2015-10-30
55Am8neGJkdj2ADaM3aw5H,"Train Wreck","['4IWBUUAFIplrNtaOHcJPRM']",87,2016-10-28
5uCax9HTNlzGybIStD3vDh,"Say You Won't Let Go","['4IWBUUAFIplrNtaOHcJPRM']",87,2016-10-28
7m9OqQk4RVRkw9JJdeAw96,"Jocelyn Flores","['15UsOTVnJzReFVN1VCnxy4']",87,2017-08-25
0tgVpDi06FyKpA1z0VMD4v,"Perfect","['6eUKZXaKkcviH0Ku9w2n3V']",87,2017-03-03
7qiZfU4dY1lWllzX7mPBI3,"Shape of You","['6eUKZXaKkcviH0Ku9w2n3V']",87,2017-03-03
4VXIryQMWpIdGgYR4TrjT1,"All Girls Are The Same","['4MCBfE4596Uoi2O4DtmEMz']",87,2018-12-10
3ee8Jmje8o58CHK66QrVC2,"SAD!","['15UsOTVnJzReFVN1VCnxy4']",87,2018-03-16
2xLMifQCjDGFmkHkpNLD9h,"SICKO MODE","['0Y5tJX1MQlPlqiwlOH1tJY']",87,2018-08-03
3eekarcy7kvN4yt5ZFzltW,"HIGHEST IN THE ROOM","['0Y5tJX1MQlPlqiwlOH1tJY']",87,2019-10-04
1ZMiCix7XSAbfAJlEZWMCp,"Falling","['6KImCVD70vtIoJWnq6nGn3']",87,2019-12-13
6Hj9jySrnFppAI0sEMCZpJ,"Robbery","['4MCBfE4596Uoi2O4DtmEMz']",87,2019-03-08
2tnVG71enUj33Ic2nFN6kZ,"Ride It","['4ofCBoyEiGSePFAG500xev']",87,2019-07-26
6ocbgoVGwYJhOv1GgI9NsF,"7 rings","['66CXWjxzNUsdJxJ2JdwvnR']",87,2019-02-08
3ZCTVFBt2Brf31RLEnCkWJ,"everything i wanted","['6qqNVTkY8uBg9cP3Jd7DAH']",87,2019-11-13
5u1n1kITHCxxp8twBcZxWy,"Holy (feat. Chance The Rapper)","['1uNFoZAHBGtllmzznpCI3s', '1anyVhU62p31KFi8MEzkbf']",87,2020-09-18
0EhpEsp4L0oRGM0vmeaN5e,"UN DIA (ONE DAY) (Feat. Tainy)","['1vyhD5VmyZ7KMfW5gqLgo5', '0GM7qgcRCORpGnfcN2tCiB', '6M2wZ9GZgrQXHCFfjv46we', '4q3ewBCX7sLwd24euuV69X']",87,2020-07-24
21N4Buj4xsyLb218lYle61,"Chica Ideal","['07YUOmWljBTXwIseAUd9TW', '0BqURncJM5B1BBu7UM51eq']",87,2020-10-16
2ePtv8MlBO9nuuXABqAfEX,"SugarCrash!","['4b19vuzlDcNdU4quI7L6sW']",87,2020-08-25
02kDW379Yfd5PzW5A6vuGt,"Lemonade","['6MPCFvOQv5cIGfw3jODMF0', '2hlmm7s2ICUX0LVIhVFlZQ', '4Gso3d4CscCijv0lmajZWs', '7rkW85dBwwrJtlHRDkJDAC']",87,2020-08-14
2U5WueTLIK5WJLD7mvDODv,"Wishing Well","['4MCBfE4596Uoi2O4DtmEMz']",87,2020-07-10
2bgcUk2A3jjKbCJ7KPquTi,"Mi Niña","['3E6xrwgnVfYCrCs0ePERDz', '7iK8PXO48WeuP03g8YR51W', '0n6sKrG0xKAf8xmdqeNGke']",87,2020-09-23
4y4spB9m0Q6026KfkAvy9Q,"Lonely (with benny blanco)","['1uNFoZAHBGtllmzznpCI3s', '5CiGnKThu5ctn9pBxv7DGa']",87,2020-10-16
1xQ6trAsedVPCdbtDAmk0c,"Savage Love (Laxed - Siren Beat)","['56mfhUDKa1vec6rSLZV5Eg', '07YZf4WDAMNwqr4jfgOZ8y']",87,2020-06-11
7r9ZhitdQBONTFOiJW5mr8,"Reloj","['1mcTU81TzQhprhouKaTkpq', '2R21vXR83lH98kGeO99Y66']",87,2020-10-22
2r6OAV3WsYtXuXjvJ1lIDi,"Hello (feat. A Boogie Wit da Hoodie)","['0eDvMgVFoNV3TpwtrVCoTj', '31W5EY0aAly4Qieq6OFu6I']",87,2020-07-20
1ere9b9vDw2N3m9d4uiXxa,"Facas - Ao Vivo","['3k68C6mNMJL6OaAdWeW2ZF', '5JXhkyafynxCvxtov7C1PV']",87,2020-10-15
6AGOKlMZWLCaEJGnaROtF9,"Put Your Records On","['7MPGCB854Qo4alYMOPkBka']",87,2020-04-24
